Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
MONTRY-CONDE;87116400;JOB;2023-09-19;2023;P;P;Après 20h;0
LONGUEVILLE;87116137;SAM;2023-11-18;2023;P;P;De 16h à 20h;177
NOGENT-L'ARTAUD-CHARLY;87116566;JOB;2023-09-19;2023;P;P;De 10h à 16h;126
MARLY-LE-ROI;87382465;JOB;2023-11-14;2023;L;L2;De 10h à 16h;765
MONTRY-CONDE;87116400;JOB;2023-09-19;2023;P;P;De 16h à 20h;15
LONGUEVILLE;87116137;JOB;2023-11-14;2023;P;P;Après 20h;70
NOGENT-LE-PERREUX;87113746;SAM;2022-03-19;2022;E;E;De 10h à 16h;1365
MARLY-LE-ROI;87382465;JOB;2023-11-14;2023;L;L2;De 16h à 20h;657
MONTSOULT-MAFFLIERS;87276493;SAM;2023-11-18;2023;H;H;De 6h à 10h;177
LONGUEVILLE;87116137;JOB;2023-11-14;2023;P;P;De 10h à 16h;288
NOGENT-LE-PERREUX;87113746;SAM;2022-03-19;2022;E;E;De 6h à 10h;456
MAROLLES-EN-HUREPOIX;87545186;JOB;2017-04-25;2017;C;C;Après 20h;26
MONTSOULT-MAFFLIERS;87276493;JOB;2023-11-14;2023;H;H;De 10h à 16h;765
LONGUEVILLE;87116137;JOB;2023-11-14;2023;P;P;De 6h à 10h;511
NOGENT-LE-PERREUX;87113746;JOB;2022-03-22;2022;E;E;Avant 6h;65
MAROLLES-EN-HUREPOIX;87545186;JOB;2017-04-25;2017;C;C;Avant 6h;53
MORET-VENEUX-LES-SABLONS;87682278;DIM;2023-11-19;2023;R;R;De 16h à 20h;307
LOUVECIENNES;87382457;SAM;2023-11-18;2023;L;L2;De 16h à 20h;246
NOGENT-LE-PERREUX;87113746;JOB;2022-03-22;2022;E;E;De 10h à 16h;1211
MAROLLES-EN-HUREPOIX;87545186;JOB;2017-04-25;2017;C;C;De 6h à 10h;2133
MORET-VENEUX-LES-SABLONS;87682278;JOB;2023-11-14;2023;R;R;De 6h à 10h;965
LOUVECIENNES;87382457;DIM;2023-11-19;2023;L;L2;Après 20h;51
NOINTEL-MOURS;87276758;SAM;2023-11-18;2023;H;H;Après 20h;17
MASSY-PALAISEAU;87393579;DIM;2017-04-23;2017;C;C;De 6h à 10h;290
MORMANT;87116087;SAM;2023-11-18;2023;P;P;De 6h à 10h;98
LOUVECIENNES;87382457;JOB;2023-11-14;2023;L;L2;Après 20h;54
NOINTEL-MOURS;87276758;SAM;2023-11-18;2023;H;H;Avant 6h;11
MASSY-PALAISEAU;87393579;JOB;2017-04-25;2017;C;C;Avant 6h;51
MORMANT;87116087;DIM;2023-11-19;2023;P;P;De 10h à 16h;112
LOUVRES;87276253;SAM;2024-02-03;2024;D;D;De 10h à 16h;884
NOINTEL-MOURS;87276758;DIM;2023-11-19;2023;H;H;De 16h à 20h;52
MASSY-PALAISEAU;87393579;JOB;2017-04-25;2017;C;C;De 16h à 20h;3900
MORMANT;87116087;JOB;2023-11-14;2023;P;P;De 10h à 16h;142
LOUVRES;87276253;JOB;2024-05-03;2024;D;D;Après 20h;122
NOINTEL-MOURS;87276758;JOB;2023-11-14;2023;H;H;Avant 6h;29
MASSY-VERRIERES;87383281;DIM;2017-04-23;2017;C;C;De 10h à 16h;76
MORMANT;87116087;JOB;2023-11-14;2023;P;P;De 16h à 20h;102
LUZARCHES;87276576;SAM;2023-11-18;2023;H;H;Avant 6h;6
NOINTEL-MOURS;87276758;JOB;2023-11-14;2023;H;H;De 16h à 20h;105
MASSY-VERRIERES;87383281;DIM;2017-04-23;2017;C;C;De 16h à 20h;49
MORTCERF;87116244;DIM;2023-11-19;2023;P;P;Après 20h;6
LUZARCHES;87276576;SAM;2023-11-18;2023;H;H;De 6h à 10h;70
